feature,gain,rank
los_trend_180d,119463.98473501205,1
los_trend_x_prior_admits,57919.49956512451,2
freq_x_recency,54948.47728896141,3
discharge_location_te,51164.59338068962,4
prior_readmission_count,40091.80932235718,5
drg_code_te,34159.10466384888,6
primary_dx_chapter_te,25480.19927096367,7
los_per_prior_admit,25401.29039478302,8
log_n_labs,22894.8414812088,9
orders_last_6h,21856.483093976974,10
time_since_last_discharge,20939.72204732895,11
severity_x_lab_abnormal,20567.68504524231,12
los_x_n_diagnoses,17734.821766138077,13
orders_first_24h,16704.819684028625,14
prior_admits_6m_sq,15619.550488710403,15
bmi_last,15306.408412218094,16
new_med_rate_48h,14036.66471362114,17
clinical_complexity,13569.431928396225,18
prior_mean_los_6m,12630.646565914154,19
comorbidity_pc4,11565.946031808853,20
late_order_rate,11476.94616317749,21
med_orders_ratio,11430.578860998154,22
bp_diastolic_outpatient,11105.151455163956,23
log_prior_admits_6m,11079.194918632507,24
last_drg_dispo_te,10996.010347604752,25
bun_creatinine_ratio,10712.355576515198,26
race_te,10492.843845129013,27
prior_admissions_all,10435.651551246643,28
drg_code,10107.331282377243,29
los_trend_x_prior_6m,9847.952054977417,30
bilirubin_max,9794.76409649849,31
n_emar_details,8987.525455236435,32
sodium_last,8684.492064476013,33
primary_dx_chapter,8670.454829216003,34
high_risk_meds_x_age,8596.896145105362,35
prior_admissions_6m,8397.884620189667,36
last_drg_dispo,8371.381164550781,37
iv_admin_rate,8114.881417751312,38
prior_admits_x_age,7032.957340955734,39
discharge_location,6885.373325824738,40
log_time_since_discharge,5508.849922657013,41
n_order_types,5374.4541451931,42
severity_x_readmit,5010.5923228263855,43
log_prior_readmit_count,4937.095114707947,44
max_unit_los_days,3617.2478461265564,45
renal_risk_x_age,3489.9820704460144,46
discharge_surge,1321.7311446666718,47
nonenglish_x_prior_admits,1241.3973050117493,48
anemia_x_prior_admits,342.5671784877777,49
rapid_tfr_x_readmit,165.1757209300995,50
